time,means,sd,se
775,63.21664699,13.02021257,4.340070858
777,63.1821255,13.04904181,4.349680604
779,63.1375136,13.01904166,4.339680553
781,63.1409009,12.98876394,4.329587979
783,63.14344442,12.99464231,4.331547435
785,63.10940933,13.04361966,4.347873219
787,63.07185967,13.05228906,4.350763019
789,63.07507786,13.02128127,4.34042709
791,63.13579468,13.03362731,4.344542435
793,63.08040549,13.00148697,4.33382899
795,63.11159547,12.95806053,4.31935351
797,63.05554207,12.94782463,4.315941543
799,63.07230248,12.95715389,4.319051296
801,63.09030588,12.96880964,4.322936547
803,63.04382861,13.01761801,4.339206003
805,63.00106639,13.02975457,4.343251524
807,63.00347393,13.00528091,4.335093638
809,62.96850964,12.97691442,4.325638141
811,62.89024095,12.93898338,4.312994461
813,62.89598,12.91277047,4.304256823
815,62.93947442,12.93702656,4.312342186
817,62.95255117,13.01448042,4.338160141
819,62.95240124,13.05212799,4.35070933
821,62.9833855,13.0064648,4.335488267
823,62.94107306,13.0105905,4.336863501
825,62.93648809,13.02675851,4.342252838
827,62.94100158,12.99366517,4.331221722
829,62.96255093,13.00616461,4.335388202
831,62.98967894,12.97815764,4.326052547
833,63.01445519,12.95823406,4.319411354
835,62.9777772,12.94850848,4.316169492
837,62.9225083,12.98885729,4.329619098
839,62.93203736,13.02202647,4.340675489
841,62.84816908,12.98694473,4.328981578
843,62.90019712,12.95639917,4.318799722
845,62.91682852,12.96255152,4.320850506
847,62.85467346,12.95877805,4.319592682
849,62.85899867,12.93780612,4.312602039
851,62.85236877,12.93406227,4.311354089
853,62.89224229,12.92700646,4.309002154
855,62.92349329,12.9670248,4.322341599
857,62.85839025,12.97024595,4.323415317
859,62.88205425,12.92695847,4.308986158
861,62.86067053,13.00273387,4.334244623
863,62.89454001,12.94508741,4.315029138
865,62.87875761,12.90384648,4.30128216
867,62.94244855,12.98037332,4.326791106
869,62.93415203,12.9179323,4.305977432
871,62.98926925,12.95595581,4.318651935
873,62.96633745,12.88519047,4.295063492
875,62.93768228,12.90486222,4.301620741
877,62.88182588,12.87280239,4.290934131
879,62.92722576,12.88764262,4.295880872
881,62.86812676,12.90564884,4.301882945
883,62.89956081,12.95133576,4.317111919
885,62.93641487,12.87054499,4.290181663
887,62.95073984,12.87228253,4.290760844
889,62.98540951,12.91675908,4.305586361
891,62.92485832,12.89082294,4.296940981
893,63.01900703,12.91411668,4.304705561
895,63.0412694,12.9117796,4.303926533
897,63.04500362,12.88833265,4.296110885
899,63.04109855,12.85491809,4.284972698
901,63.04771625,12.85963058,4.286543527
903,63.09973731,12.80220201,4.267400669
905,63.09470431,12.83958667,4.279862222
907,63.00439441,12.89149307,4.297164358
909,63.01703881,12.904921,4.301640333
911,63.03227206,12.89061301,4.296871004
913,63.08025033,12.88918744,4.296395814
915,63.09058133,12.83996358,4.27998786
917,63.08848758,12.87002121,4.29000707
919,63.05041493,12.91093389,4.303644631
921,63.04251937,12.85331404,4.284438014
923,63.06465796,12.88945015,4.296483383
925,63.04050756,12.89799821,4.299332738
927,63.078181,12.93746269,4.312487564
929,63.11376069,12.85253014,4.284176712
931,63.10446175,12.87040384,4.290134612
933,63.16162042,12.89308287,4.297694289
